0;0;0;0;
0;0;0;0.007843138;
0.09019608;0.05490196;0.1490196;1;
0.1843137;0.145098;0.2313726;1;
0.2862745;0.254902;0.3333333;1;
0.6;0.5647059;0.654902;1;
0.5803922;0.4980392;0.4313726;1;
0.3960785;0.3254902;0.2705882;1;
0.9176471;0.9215687;0.9490197;1;
0.6745098;0.6313726;0.7176471;1;
0.9137256;0.509804;0.6078432;1;
0.2156863;0.1058824;0.1294118;1;
0.9176471;0.9176471;0.9450981;1;
0.1921569;0.1568628;0.1686275;1;
0.9921569;0.7411765;0.8705883;1;
0.9176471;0.572549;0.7411765;1;
0.1803922;0.1607843;0.2705882;1;
0.4705883;0.8509805;0.9568628;1;
0.6784314;0.6313726;0.6431373;1;
0.9137256;0.8509805;0.8666667;1;
0.7490196;0.6941177;0.2235294;1;
1;0.9019608;0;1;
0.3254902;0.3137255;0.3882353;1;
0.2;0.1843137;0.2862745;1;
0.9490197;0.909804;0.937255;1;
0.07058824;0.3490196;0.427451;1;
0.7215686;0.4235294;0.5764706;1;
0.9137256;0.6588235;0.7882354;1;
0.1411765;0.1019608;0.2039216;1;
0.8274511;0.9294118;0.9607844;1;
0.9568628;0.7725491;0.6;1;
0.9725491;0.9725491;0.9725491;1;
0.5803922;0.2313726;0.3294118;1;
0.9568628;0.3843138;0.6627451;1;
0.5960785;0.4;0.1843137;1;
0.172549;0.4431373;0.3882353;1;
0.5607843;0.3843138;0.7960785;1;
0.1960784;0.2705882;0.6196079;1;
0.9058824;0.3843138;0.5372549;1;
0.2509804;0.227451;0.372549;1;
0.7960785;0.5529412;0.345098;1;
0.2941177;0.654902;0.6;1;
0.6313726;0.8666667;0.9333334;1;
0.3529412;0.4078432;0.7960785;1;
0.4901961;0.7098039;0.7372549;1;
0.6588235;0.6588235;0.7411765;1;
0.8666667;0.8666667;0.8980393;1;
0.9411765;0.7294118;0.8352942;1;
